keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Adult learning, in-person, advocacy, computer science, new, middle school, high school, courses, internships, summer, teacher development, mentors, curriculum",Computer Science and Technology for Urban Youth (CSTUY),https://cstuy.org/,"CSTUY is a new organization dedicated to bringing computer science and technology related educational opportunities to high school and middle school students. They will provide classes, internships, lectures, summer programs, teacher training and professional development, mentoring, online content, curriculum, etc.  CSTUY also offers Hacking Sessions on Saturdays for NYC high school students.  With these sessions, students will learn advanced coding techniques and build amazing projects.",Middle and high school,Hacking sessions Saturdays from 9 am to 12 noon,Free hacking sessions for youth,"JavaScript, Python, MongoDB, etc.",,,,,"New York, NY",,,hackersessions-info@cstuy.org,,
"Advocacy, computer science, underrepresented, collaborations",Computer Science Collaboration (CSC) Project,http://www.cscproject.org/,"CSC Project aims to efficiently increase participation of underrepresented groups in computer science opportunities and activities by effectively building collaborations between K-12, community-based organizations, higher education, and industry.  The organization seeks to connect the various alliances and K-12 outreach organizations that are part of the Broadening Participation in Computing (BPC) community, specifically focusing on outreach to and collaboration with persons with disabilities, African Americans, Hispanics, American Indians, Alaska Natives, Native Hawaiians, Pacific Islanders, and women.",,,,,"19020 33rd Avenue NE, Suite 210",Lynwood,WA,98036,National,Enrico Pontelli,Chair,kpeterson@edlabgroup.org,(425) 977-4750,2010
"Adult learning, teacher development, K-12",Computer Science for High School (CS4HS),http://www.cs4hs.com/,"CS4HS (Computer Science for High School) is an initiative sponsored by Google to promote Computer Science and Computational Thinking in high school and middle school curriculum. With a gift from Google's Education Group, universities develop 2-3 day workshops for local high school and middle school CS teachers. These workshops incorporate informational talks by industry leaders and discussions on new and emerging CS curricula at the high school and middle school level. Now, CS4HS has expanded to include K-12 teachers in all subjects, pre-service teachers, principals, and counselors. Google provides funding to universities to develop the workshop and is committed to having local employees participate in workshop sessions whenever possible.","Any university, community college, or technical school in the US, Canada, Europe, the Middle East, Africa, China, Australia, and New Zealand is welcome to apply. ",,Grants are provided to universities to provide workshops.,,,,,,"United States, Canada, Europe, the Middle East, Africa, China, Australia and New Zealand",,,cs4hs@google.com,,
"Youth learning, in-person, summer, camps, competitions, robotics, animination, game development",Computer Science Outreach at UT Dallas ,"https://www.facebook.com/CSK12OutreachUTD/info, http://www.utdallas.edu/k12/","Computer Science Outreach at UT Dallas introduces Computer Science & Programming to Dallas area kids in enjoyable/appealing ways (Drawings, Animation, Robotics, Music, Images, Games, etc) and encourages them to consider it for future careers. CS department in Erik Jonsson School of UT Dallas conducts several FREE workshops & courses in various programming languages (Java, JavaScript, Alice, ...) throughout the year for school students. Additionally, they conduct programming competitions and CHAMPS Summer Camp as well.",Youth,,"Free, fee per course, summer camp - $200-$250","Java, JavaScript, Alice, Scratch, etc.",,,,,"Dallas, TX",,,csk12@utdallas.edu,,
"Adult learning, youth learning, online, teacher resources",Computer Science Unplugged,http://csunplugged.org/,"CS Unplugged is a collection of free learning activities that teach Computer Science through engaging games and puzzles that use cards, string, crayons and lots of running around. CS Unplugged is suitable for people of all ages, from elementary school to seniors, and from many countries and backgrounds. Unplugged has been used around the world for over fifteen years, in classrooms, science centers, and homes.",All ages,Self-paced,Free,Computer science,,,,,N/A,,,,,
"Youth learning, online, curriculum, activities, computer science, teacher resources",Computer Science Unplugged,http://csunplugged.org/,"Computer Science Unplugged is a collection of free learning activities that teach Computer Science through engaging games and puzzles that use cards, string, crayons and lots of running around. The activities introduce students to underlying concepts such as binary numbers, algorithms and data compression, separated from the distractions and technical details we usually see with computers.

CS Unplugged is suitable for people of all ages, from elementary school to seniors, and from many countries and backgrounds. Unplugged has been used around the world for over fifteen years, in classrooms, science centers, homes, and even for holiday events in a park!",Primarily five to twelve year-olds,Self-paced,Free,,,,,,N/A,,,,,
"Youth learning, in-person, animation, game development, summer, camps",ComputerMagix,http://www.computermagix.org/,ComputerMagix is a group of parents and professionals tired of hunting for great technology summer camps for their kids. So they decided to take some time off their work in the summer to create high quality and affordable technology camps for their kids to learn and enjoy digital technology and for families who have similar needs.,K-12,1 week,$399/week to $599/week,"Alice, Arduino, Java, JavaScript, Kodu, PHP, Python, Ruby, Scratch","1600 Saratoga Ave, Suite 427",San Jose,CA,95129,"San Jose, CA",,,info@ComputerMagix.org,,
"Campaign, advocacy, counselor development, underrepresented",Counselors for Computing (C4C) [NCWIT],https://www.ncwit.org/programs-campaigns/counselors-computing-c4c,Counselors for Computing (C4C) is a four-year campaign through which thousands of students -- especially girls -- are introduced to computing and encouraged to pursue education and careers in IT. The C4C campaign informs and equips school counselors  with up-to-date information and resources they can use to effectively encourage underrepresented groups to pursue education and careers in computing and IT.,,,,,,,,,National,Jane Krauss,Program Manager,jkrauss@ncwit.org,,
"Adult learning, online, certification",Coursera,https://www.coursera.org/,Coursera provides free university courses taught online by real professors.,Various skill levels,Self-paced,"Free, paid Signature Track with certification","Humanities, Medicine, Biology, Social Sciences, Mathematics, Business, Computer Science, and many others.","1975 W. El Camino Real, Suite 202",Mountain View,CA,94040,N/A,Daphne Koller; Andrew Ng,Co-Founders,feedback@coursera.com,,2012
"Adult learning, in-person, apprenticeship",Craftsmanship Academy,http://craftsmanshipacademy.com/,"Craftsmanship Academy immerses participants in a real software studio where leading software craftsman will guide their learning.  The program has three phases: skills immersion, apprenticeship, and residency. During skills immersion, students will learn test-driven development of object-oriented programming, web application development using Ruby, Rails, HTML, SASS, JavaScript, SQL, no-SQL, mobile development for iOS, data structures, design patterns, agile software development, and much more. Students who successfully complete the skills immersion matriculate to a 3-6 month apprenticeship developing real world projects under the supervision of master craftsmen. Finally, those who successfully complete the Apprenticeship phase will matriculate into a 3-9 month residency at RoleModel. Successful participants in the program will have gained everything he or she needs to begin a a successful Software Craftsmanship journey.",Various skill levels,,Max $6000 for phase 1.  Stipend paid to student for other phases.  Financing options available.,"Ruby, Rails, HTML, SASS, JavaScript, SQL, no-SQL, mobile development for iOS, data structures, design patterns, agile software development, etc.",6720 RoleModel Way,Holly Springs,NC,27540,"Holly Springs, NC",,,communications@craftsmanshipacademy.com,(919) 609-4357,2011
"Youth learning, in-person, summer, camps, game development, elementary school",Creative Coding for Kids,http://www.creativecoding4kids.com/,"Creative Coding for Kids teaches kids the joy of coding computers by helping them write their own customized computer game!  They currently offer a half-day, week-long summer camp in NE Seattle, for ages 8-12. They use Scratch, the MIT-developed tool created just for this purpose. After-school classes are also being considered for next fall. ",Ages 8-12,1 week,$185,Scratch,,,,,"Seattle, WA",Eric Fredrickson,,eric@creativecoding4kids.com,,2013
"Adult learning, online, network, teacher development, Exploring Computer Science curriculum, Computer Science Principles curriculum, standards-based",CS10K Community,http://cs10kcommunity.org/,"The CS10K Community is where teachers of Exploring Computer Science (ECS) and Computer Science Principles (CSP) come to connect with each other and with the resources and expertise they need to excel. With the support of a team of expert facilitators and supporting professionals, teachers get answers to their burning questions, share their experiences, and work together with others to develop materials and strategies they need to embrace powerful pedagogies, get students engaged with exciting technologies, and make the case to potential students and to school leaders that computer science education is integral to preparing future leaders. 
",Teachers using or interested in Exploring Computer Science (ECS) or Computer Science Principles (CSP) curricula,N/A,,N/A,,,,,N/A,Darren Cambridge,,dcambridge@air.org,,
"Adult learning, online, certification, competitions, students, teacher development, web development, game development, robotics, animation",CS2N (Computer Science Student Network),http://www.cs2n.org/,"Computer Science Student Network (CS2N) is a center for Computer Science activities, Computer Science competitions, and courses. CS2N provides lessons to make programming easy. CS2N is a collaborative research project between Carnegie Mellon University and the Defense Advanced Research Projects Agency (DARPA) designed to increase the number of students pursuing advanced Computer Science and Science, Technology, Engineering, and Mathematics (CS-STEM) degrees. Participants can earn badges that lead to certifications as you complete CS2N activities.  CS2N’s connected learning activities are designed to align with educational standards that teachers are required to teach to.",K-12 teachers,Self-paced,All activities are Free unless otherwise indicated.,"LEGO, robotics, animation, web development, game development",Ten 40th Street,Pittsburgh,PA,15201,N/A,,,socialmedia@cs2n.org,,2010
"Youth learning, software/app, video game",Daisy-the-Dinosaur,http://www.daisythedinosaur.com/,"Learn the basics of computer programming with Daisy the Dinosaur! This free, fun app has an easy drag and drop interface that kids of all ages can use to animate Daisy to dance across the screen. Kids will intuitively grasp the basics of objects, sequencing, loops and events by solving this app's challenges. After playing Daisy, kids can choose to download a kit to program their own computer game.",Beginners,Self-paced,Free,Daisy-the-Dinosaur,,,,,N/A,,,info@gethopscotch.com,,
"Youth learning, girls, conference, blog",Dare 2B Digital,http://www.dare2bdigitalconference.com/,"The mission of Dare 2B Digital (nonprofit project of Invent Your Future Foundation) is to ensure that women are fully represented in the wide spectrum of exciting, creative and lucrative careers that leverage an education in computer science. Dare 2B Digital reaches out to girls – middle and high school students – including those in underserved communities, who use familiar technology everyday (cell phones, video games, the Internet), but who usually do not consider careers that envision, develop, market, sell, apply, or rely on these and other technologies.",Middle & high school girls,,Conference pricing is $45 per young woman or $90 for young woman and parent or guardian.,,,,,,"Redwood City, CA",Ruth Stergiou,"Co-Founder, CEO",info@dare2bdigitalconference.com,(650) 592-9227; (408) 554-4248,2009
"Adult learning, online",Dash,https://dash.generalassemb.ly/,"General Assembly launched a new service called Dash, which is designed to help get more people to take advantage of its Web Development courses. Dash teaches HTML, CSS, and Javascript through fun projects you can do in your browser.",Beginners,Self-paced,Free,"HTML, CSS, and Javascript",,,,,N/A,,,online@generalassemb.ly,,2013
"Adult learning, in-person, bootcamps, certification, mentors",DaVinci Coders,http://www.davincicoders.com,"The DaVinci Coders Ruby on Rails Training Program provides expert instruction, mentorship, and an immersive environment. The bootcamp provides a day class and a night class option. For people wishing to become proficient in coding, this will require a 30-40 hour commitment outside of class. Industry experts will be available as Coaches, with scheduled hours of when they'll be onsite and available for questions. In addition, Students will have 24-7 access to the DaVinci Institute coworking facilities.",No experience necessary,11 weeks,"Level 1 Certificate program - $6,000; Level 2 Certificate program - $6,000",Ruby on Rails,511 E. South Bolder Road,Louisville,CO,80027,"Louisville, CO",Thomas Frey,Executive Director and Senior Futurist ,nancy@davinciinsitute.com,(303) 666-4133,2012
"Adult learning, online",Decoded,http://decoded.us/,"Decoded transforms people and organisations through an understanding of code. Their digital training distils thousands of hours of expertise into a finely crafted learning experience, in a day. Learn to code. Learn about data.",Beginners,Varies,Fee per course,,,,,,"London; New York, NY",,,amadeus@decoded.us,(646) 573-7533,
"Adult learning, in-person, bootcamps",Deep Dive Coders,http://www.deepdivecoders.com/,"Deep Dive Coders is a 2 1/2-month web programming bootcamp and computer training facility located in downtown Albuquerque, NM. The web development curriculum will include instruction in HTML, HTML5, CSS, Github Source Control, JavaScript, jQuery, Apache, MySQL, and php. Deep Code Divers has a continously-expanding network of employers ready to hire software engineers and web developers, and Deep Code Divers will perpetually promote students, their coding skills, and the work-ethic they demostrated during thier time in the program. In addition to the immersive bootcamp, Deep Dive Coders offers private lessons tailored to students' technical needs.",,2.5 months,"$5,495","HTML, HTML5, CSS, Github, JavaScript, jQuerty, Apache, MySQL, php",312 Central Ave SE,Albuquerque,NM,87102,"Albuquerque, NM",,,hello@deepdivecoders.com,(505) 720-1380,2013
"Adult learning, in-person, mobile",Delta Program,http://deltaprogram.us/,"The Delta Program is a collection of passionate people looking to change the future of mobile technology. In this online learning community, students will learn to build powerful programs under the guidance of industry experts. Students work at their own pace, online, with a world-wide community of supporters using a proven curriculum. The program uses virtual environments to form the most interactive and farthest reaching classroom on the planet. Members of the Delta Program will receive over 120 scientifically engineered activities under the mentorship of professional devleopers and in collaboration with fellow students around the globe. Students of the Delta Program will learn to code, build their own apps, get awesome jobs, and launch their passions.",Anyone,8 weeks + 3 months of career advancement assistance,"$9,700",Android,912 Congress Avenue,Austin,TX,78701,"Austin, TX",,,info@deltaprogram.us,,
"Adult learning, in-person, bootcamps, project-based",Dev Bootcamp,http://devbootcamp.com/,"Dev Bootcamp is a 9-week intensive training in an intimate class and lab setting. Class is 40 hours per week, Monday through Friday. We teach professional web development using Ruby on Rails. You get instruction through a curated set of videos, books and tutorials. Practice happens by applying the theory in group projects.",Various skill levels,"9 weeks. M-F, 9am - 6pm","$12,200. $3K refund via job hiring program, $1K deposit, $500 scholarship if you're female, a US military veteran, or from an ethnic minority group underrepresented in the software engineering field.","Ruby on Rails, HTML5 & CSS","717 California Street, Suite 200",San Francisco,CA,94108,"San Francisco, CA; Chicago, IL",Jesse Farmer,Co-Founder,hello@devbootcamp.com,,2012
"Adult learning, in-person, bootcamps, after hours",Dev Mountain,http://devmounta.in/,"DevMountain is an after-hours, intense 12-week coding school in Provo, UT where students are trained and mentored by industry experts. The program is perfect for everyone from beginners to individuals with more programming experience. DevMountain promises hands on learning, a flipped classroom, intense instruction, and engaged mentorship. Over the course of 12 weeks students will learn core engineering skills, web application basics, development best practices, front end development, advanced javascript and frameworks, node.js, meteor, git collaboration and workflow, and test driven development Students are expected to commit 20-30 hours to the program each week, but because instruction occurs during weekends and evenings, students may be able to maintain their day job and/or traditional school schedule while participating in the program.",Various skill levels,12 weeks,"Full-time/immersive - $8,900 (financing available); After hours (part-time) - $3,900 - $4,500; partial reimbursement through job placement program",,560 S 100 W,Provo,UT,84601,"Provo, UT",,,admin@devmounta.in,(801) 657-9935,
"Adult learning, in-person, web development",Dev/Iowa Bootcamp,http://www.iowajpec.org/entrepreneur-support/deviowa/,"Dev/Iowa Bootcamp is a 9-week web development program that focuses on turning you into a professional web developer. Designed and led by industry experts, the program and its curriculum offers an unprecedented, hands on, immersive learning environment. Emphasizing fundamental web development skills and industry practices this course is sure to offer the most efficient way to become a full-stack web developer. The Dev/Iowa Bootcamp covers web fundamentals, frontend web development, backend web development, and best practices.",,9 weeks,"$5,000","HTML, CSS, JavaScript, front-end & back-end web development","108 Pappajohn Business Building, Suite S160",Iowa City,IA,52242,"Iowa City, IA",,,IOWAJPEC@UIOWA.EDU,(319) 335-1022,
"Adult learning, in-person, bootcamps",Devatory,http://devatory.com/,"Devatory is a 10-week web development bootcamp based in Oakbrook, IL. Devatory strives to jumpstart careers by giving students the opportunities to learn to code from experienced instructors, build amazing products that make a difference, and take advantage of their job prep program. The program champions their ""Devatory Method"" that focuses on learning by doing, full immersion, teamwork, and mastering fundamentals. Students in the program will learn HTML5 & CSS, JavaScript, .NET MVC4, Agile Methodology, responsive design, testing, source control, and soft skills like resume and interview prep. Devatory is looking for students of all background and experience levels. They are looking for students with a strong desire to learn, collaborate, and work hard.",Various skill levels,10 weeks,"$8,000","HTML5 & CSS, JavaScript, .NET MVC4, Agile Methodology, responsive design, testing, source control, and soft skills","Oakbrook Pointe, 700 Commerce Drive, Ste 500",Oak Brook,IL,60523,"Oak Brook, IL",,,hello@devatory.com,(630) 445-1429,2013
"Adult learning, in-person, bootcamps, web development, full-time, web development, mobile",DevPoint Labs,http://devpointlabs.com/,"DevPoint Labs is an 11-week coding and start-up bootcamp class in Utah. The best way to learn how to code starts by committing yourself. Next it helps to attend an in-person classroom with other like-minded individuals getting your hands dirty and building that “muscle memory.” They teach anyone how to program in Ruby on Rails so you can build your own idea, launch a new career, or simply become a technical founder and speak code to developers.

Located in Downtown, Salt Lake City - DevPoint Labs is at the heart of the city and heart of the ""Silicon Slopes"". Come learn the skills and tools needed to build powerful web apps. Immerse yourself in a community where you'll be surrounded by like minded individuals in a co-working facility.",Various skill levels,11 weeks,"$9,000 - web development; $9,500 - iOS development, $2,000 scholarship option for women","Ruby on Rails, JavaScript, HTML5/CSS3, Coffeescript, jQuery, AJAX, SASS, HAML, Agile, Git, etc.",150 S. State Street,Salt Lake City,UT,84101,"Salt Lake City, UT",,,contact@devpointlabs.com,,2013
"Youth learning, girls, in-person, workshops, mobile, summer, camps, entrepreneurship, game development",Digerati Girls,http://www.digeratigirls.com/,"Digerati Girls offers custom programs and immersion events in digital entrepreneurship and digital marketing as well as support and sponsorship to host Digerati Girls programs in other areas. Curriculum options include AppLab, WebLab, MediaLab, IdeaLab where participants create apps, websites, digital marketing and social media products to introduce and STEM and coding skills. ",,,,"C++, HTML, Kodu, Mobile Apps, Scratch",22200 West Eleven Mile Road #271,Southfield,MI,48037,"Southfield, MI",,,inquiries@digeratigirls.com,,2011
"Youth learning, in-person, workshops, mobile, summer, camps, entrepreneurship, game development",Digerati Kids,http://www.digeratikids.com/,"Digerati Kids offers custom programs and immersion events in digital entrepreneurship and digital marketing. Curriculum options include AppLab, WebLab, MediaLab, IdeaLab where participants create apps, websites, digital marketing and social media products to introduce and STEM and coding skills. ",,,,"C++, HTML, Kodu, Mobile Apps, Scratch",22200 West Eleven Mile Road #271,Southfield,MI,48037,"Southfield, MI",,,inquiries@digeratigirls.com,,
"Youth learning, girls, high school, workshops, online learning, camps, events, web development, podcast development, award",DigiGirlz,https://www.microsoft.com/en-us/diversity/programs/digigirlz/default.aspx,"DigiGirlz, a Microsoft YouthSpark program, gives high school girls the opportunity to learn about careers in technology, connect with Microsoft employees, and participate in hands-on computer and technology workshops. DigiGirlz Day is a one-day event, held at multiple Microsoft locations worldwide, and is designed to provide high school girls with a better understanding of what a career in technology is all about. DigiGirlz High Tech Camp for girls works to dispel stereotypes of the high-tech industry. During the camp session, the girls listen to executive speakers, participate in technology tours and demonstrations, network, and learn through hands-on experience in workshops. Established in 2000, the camp program continues to grow and evolve.",High school girls,Varies,Free,"HTML, etc.",,,,,"National, Global",,,,,2000
"Adult learning, in-person",DigitalCrafts,http://www.digitalcrafts.com/,"DigitalCrafts is an Accelerated Learning Program (more affectionately known as a ""code school"" or ""coding bootcamp"") headquartered in Atlanta, GA.  The flagship course is a 16 Week Immersive Bootcamp transforming beginners into full-stack developers with cutting edge skill sets, polished portfolios, interview training, and on-going career support.",Adults,,"Tuition for our 16 Week Immersive Bootcamp is $12,000. (Additional $1,000 for optional iOS elective add-on) Once you’ve completed the application process and been officially accepted into the program, a $1,000 deposit is required to secure your seat.

Evening iOS Class: Tuition for our part-time iOS class is $3,000. Once you've been accepted, a $250 deposit is required to secure your seat in class.

We offer scholarships for our immersive program to students that meet certain criteria. We're happy to fill you in on the details, just give us a ring at (770) 858-5806.","HTML, CSS, JavaScript, JQuery, Bootstrap 3.0, JSON, AngularJS, Linux, Apache, MySQL, PHP, MongoDB, Express, Node.js, iOS app development",,Atlanta,GA,,,,,hello@digitalcrafts.com,(770) 858 - 5806,2015
"Youth learning, girls, middle school, in-person, summer camps, workshops, Girl Scouts, robotics, AspireIT",Digital Girls,https://www.ncwit.org/programs-campaigns/aspirations-computing/aspireit-2013-programs,"Digital Girls will unite two STEM-focused Girl Scouts of the USA troops with a robotics team. The New Jersey troop will offer weekend workshops and the Long Island troop will offer a weekly after-school workshop, three all-day Saturday classes, and two week-long summer camps (one in Nassau County, one in Suffolk County.) Girls will be trained on Kodu, robotics, and Agent Cubes-in-a-Box.",Middle school girls,Varies,,"Kodu, robotics, and Agent Cubes-in-a-Box",,,,,"Long Island, NY; NJ",,,no website. no contact info.,,
"Youth learning,  adult learning, in-person, summer, camps, certification, chapter-based",Digital Media Academy,http://www.digitalmediaacademy.org/,"Digital Media Academy is a learning institution that provides summer camps and hands-on courses in 3D modeling & animation, app & web dev't, digital film, music, & post production, game design, photography, art & design, programming & robotics, science & engineering, sports & technology.",All ages,Varies,Fee-based workshops/camps,"3D modeling & animation, app & web dev't, diGital film, music, & post production, game design, photography, art & design, programming & robotics, science & engineering, sports & technology",718 University Ave. Ste. 115,Los Gatos,CA,95032,"Berkeley, CA; Los Angeles, CA; Irvine, CA; San Diego, CA; Austin, TX; Chicago, IL; Toronto, Canada; Atlanta, GA; Washington, DC; Stanford, CA; Swarthmore, PA; Philadelphia, PA; Bronxville, NY; New York, NY; New Haven, CT; Cambridge, MA",,,,(866) 656-3342,2002
"Youth learning, in-person, animation, game development, summer, fall, spring, camps, workshops",Digital Monkey,http://www.digitalmonkeyschool.com/,"Digital Monkey School's mission is innovative Art education, promotion of art and independent development of video games and animation. They teach Digital Art, introducing modern digital Art Creation Tools (like Photoshop, After Effects, 3DStudio Max, Unity, UT3, Game Maker, Maya, Flash and much more) to youngsters and adults.  They have different experimental educational programs that are inclusive to a wide range of students of different age groups and skill levels; from young beginners to post graduates and video game professionals.",,,Fee per course,"HTML, JavaScript, Mobile Apps, Python, Scratch",720 El Camino Real #302,Belmont,CA,94002,"Belmont, CA",,,digitalmonkeyschool@gmail.com,(650) 296-6323,2006
"Adult learning, in-person, bootcamps, mobile",Disruption Institute,http://www.disruptioninstitute.com/,The Disruption Institute is an intensive 12 week programming boot camp focused on getting you to build things. Learn to code by building mobile apps in iOS (Android coming soon). The Disruption Institute’s aim is to make Kansas City into a world leader for mobile device innovation.,No programming experience necessary.,12 weeks,"$4,000 introductory rate. Regular price $6,000. $1,500 refund if you accept a position through our jobs placement program",Objective C (iOS mobile apps) Android coming soon,,Kansas City,MO,,"Kansas City, MO",,,http://www.disruptioninstitute.com/#contact,,2012
"Adult learning, in-person, bootcamps",Dojo Dev Camp,http://dojodevcamp.com/,"Dojo Dev Camp is a 9-week intensive, full-time course based in Provo, UT designed to educate, empower, and employ aspiring web developers. The program focuses on Python, which is an industry standard and used to power many powerful web applications. Startup Dojo treats the program like a full-time job and demands students' full attention 8+ hours a day, 5 days a week, for 9 weeks. The program emphasizes project-based ""doing"" over simply reading and memorizing. Additionaly, every student is paired with a professional developer as his or her mentor to help students learn about life as a developer and tips for career growth. Startup Dojo gives students opportunity for daily networking with industry professionals, weekly projects to help students graduate with awesome portfolios, and lots of interview training all culminating in a hiring day at the end of the program where partner companies come looking to hire Startup Dojo graduates. As a special hiring bonus, if a graduate accept a job from a partner company, he or she will qualify for a $1,000 tuition refund.",Various skill levels,9 weeks,$7000; $1000 tuition refund with job placement program,Python,42 N University Ave #204,Provo,UT,84601,"Provo, UT",,,info@dojodevcamp.us,(425) 446-1197,
"Adult learning, online",Don't Fear the Internet,http://www.dontfeartheinternet.com/,"Through short tutorial videos, you’ll learn how to take a basic wordpress blog and manipulate the css, html (and even some php!) to match your aesthetic. You’ll feel empowered rather than crippled by the internet and worst case scenario you’ll at least end up having a better idea of how professional web designers turn your design dreams into a reality on screen.",Non-web designers,Self-paced,Free,"Wordpress, CSS, HTML, PHP, etc.",,,,,N/A,,,,,
"Adult learning, adult resources, online, curriculum, software",DreamSpark (Microsoft),https://www.dreamspark.com,"DreamSpark is a Microsoft Program that supports technical education by providing access to Microsoft software for learning, teaching and research purposes. It's all about giving students Microsoft professional-level developer and designer tools at no cost so that students can chase their dreams and create the next big breakthrough in technology - or just get a head start on their career. DreamSpark helps educators teach the latest technologies and experiment in research. Microsoft knows that to make learning more motivating, relevant, and engaging for today's students requires a diverse set of resources. DreamSpark gives educators the resources to ensure their classrooms always have the latest technologies to challenges, motivate, and keep students engaged in new ways. DreamSpark is also a subscription for Academic Institutions: it provides a cost-effective way to put Microsoft developer tools, platforms and servers in labs and classrooms, and on their students’ and faculty’s computers for learning and research purposes. It reduces lab costs and teaching budgets.",College students,Self-paced,Academic institution must have subscription or Free with verified college identification,Microsoft products,,,,,N/A,,,https://www.dreamspark.com/student/support.aspx,,
"Youth learning, in-person, middle school, entrepreneurship, programming, web development, digital marketing, pilot","Drive, Inc.",http://drivenminds.org/,"The Drive Program is a multi-dimensional learning program designed to draw out the potential in the next generation of entrepreneurs and equip them with the powerful skills of technology.  Students will experience an introduction to entrepreneurship, computer programming, web design, social media, and digital marketing.  Students will also interact with some of Charlotte’s most successful entrepreneurs and business men and women.  Students will learn from specialists in the programming, web design and digital marketing fields.  In partnership with the Harris YMCA, the Drive Program will begin its pilot program September 17, 2013.  The Pilot will consist of an 8-week program and will include students from the youth program at the Harris YMCA.",Middle school,8 weeks,,,"6000 Fairview Rd
Suite 350",Charlotte,NC,28104,"Charlotte, NC",,,,(704) 526-9001,2013
"Adult learning, online, MOOC",EdX,https://www.edx.org,"EdX (nonprofit) provides free university courses plus discussions, quizzes, and other interactive learning. EdX is a non-profit created by founding partners Harvard and MIT. We're bringing the best of higher education to students around the world. EdX offers MOOCs and interactive online classes in subjects including law, history, science, engineering, business, social sciences, computer science, public health, and artificial intelligence (AI).",Anyone,Self-paced,Free,"Law, history, science, engineering, business, social sciences, computer science, public health, and artificial intelligence (AI)",11 Cambridge Center,Cambridge,MA,2142,N/A,Anant Agarwal,President,info@edx.org,,2012
"Youth learning, summer, camps,game development, media technology, animation, robotics, programming",Emagination Computer Camps,http://www.computercamps.com/,"For 30 years Emagination has been the perfect summer camp for kids around the world who love technology. Founded in Connecticut in 1982, Emagination now operates technology camps in Fairfield, Connecticut and near Atlanta, Georgia, Chicago, Illinois, Philadelphia, Pennsylvania and Boston, Massachusetts. Emagination blends technology learning with fun summer camp activities in two-week sessions. Over 20 Technology Workshops --- iApps, Game Design, 3D Animation, Flash, Photoshop, Digital Music, AMV, Robotics, RC Cars, Programming. Outdoor games, swimming, tennis and drama. Co-ed, 8-17. Overnight & Day. Senior Camp for Teens. Plus we offer a separate Game Design Camp for teens. ",Ages 8-17,"1 week, 2 weeks","Fees depend on camp type and format - range from $795 to $3,195 per session",Various,"54 Stiles Road
Suite 205",Salem,NH,03079,"Atlanta, GA; Fairfield, CT; Waltham, MA; Lake Forest, IL; Rosemont, PA",Kathleen Rigg,Registrat,camp@computercamps.com,(781) 933-8795,1982
"Adult learning, in-person, apprenticeship, entrepreneurship",Enstitute,http://enstituteu.com/,"Enstitute is a 501(c)(3) non-profit that turns startups and small businesses into classrooms through apprenticeships. Enstitute works to provide Millennials with the entrepreneurial  skills, competencies, and professional networks they need to have successful careers in high-growth industries. Enstitute is a two-year apprenticeship program that provides an alternative or supplemental path to traditional post secondary education. Enstitute fellows get real world experience while learning the valuable skills they need to be competitive in a 21st century economy. Fellows work Monday – Friday directly under the CEO, founder , and/or key executive where they tackle real life problems that have real life consequences. In parallel, fellows are immersed in a comprehensive curriculum built off a foundation focusing on development across business & technical skills, competencies  and broader social & behavioral awareness.",Ages 18-24,2 years,"Enstitute tuition is $1,500 per year. Enstitute fellows receive a stipend for the work they perform in their apprenticeship. The stipend is intended to cover basic housing, food, transportation, and living expenses. Stipend amounts will be included in final acceptance letters.","Fields of study include technology startups, diGital media & advertising, & non-profit/social good, business (consisting of marketing, sales, business development, operations, hr, and/or business administration), technology (consisting of front-end development, back-end development, system architecture, IT, quality assurance, UI, UX), and design",11 Stone Street #4 ,New York,NY,10004,"New York, NY","Shaila Ittycheria, Kane Sarhan",Co-Founders,hello@enstituteu.com ,,2012
"Adult learning, in-person, bootcamps, web development, mobile",Epicodus,http://www.epicodus.com/,"Epicodus is a four month, forty hour per week, in-person class on programming. You'll learn everything you need to know to get a job as a web developer or build your startup's app.",Anyone,4 months,"Tuition is $2,800. If you can't afford to pay the full amount up-front, we will help you cover the cost.","HTML and CSS, jQuery, JavaScript,PostgresSQL, Active Record, 
Ruby on Rails, APIs, AJAX, Ember.js",,,,,"Portland, OR",Michael Kaiser-Nyman,,"michael@epicodus.com, hi@epicodus.com",,2013
